iter	Passed	Remaining
0	59	11825
1	60	6013
2	62	4081
3	63	3113
4	64	2525
5	66	2146
6	67	1868
7	69	1662
8	70	1499
9	71	1367
10	73	1259
11	74	1168
12	75	1091
13	77	1024
14	78	971
15	80	921
16	81	875
17	82	835
18	83	798
19	85	766
20	86	737
21	87	711
22	89	686
23	90	664
24	91	643
25	93	623
26	94	604
27	96	590
28	97	574
29	98	559
30	99	545
31	101	531
32	102	518
33	104	508
34	105	496
35	106	485
36	107	474
37	109	465
38	110	455
39	111	446
40	112	437
41	114	429
42	115	421
43	117	415
44	118	407
45	119	398
46	120	392
47	121	385
48	123	379
49	124	373
50	125	367
51	126	361
52	128	355
53	129	350
54	131	345
55	132	340
56	133	334
57	134	329
58	136	325
59	138	322
60	139	317
61	140	313
62	142	308
63	143	304
64	144	300
65	145	296
66	147	292
67	148	288
68	149	284
69	150	280
70	152	276
71	153	272
72	154	269
73	156	265
74	157	262
75	158	258
76	159	255
77	161	251
78	162	248
79	163	245
80	165	242
81	166	239
82	167	236
83	169	233
84	170	230
85	171	227
86	173	225
87	174	222
88	175	219
89	177	216
90	178	213
91	179	211
92	181	208
93	182	205
94	183	202
95	184	200
96	186	197
97	187	195
98	188	192
99	190	190
100	191	187
101	192	184
102	193	182
103	195	180
104	196	177
105	197	175
106	198	172
107	200	170
108	201	168
109	202	165
110	203	163
111	205	161
112	206	158
113	207	156
114	208	154
115	210	152
116	211	150
117	212	147
118	213	145
119	215	143
120	216	141
121	217	139
122	219	137
123	220	135
124	221	132
125	222	130
126	224	128
127	225	126
128	226	124
129	227	122
130	229	120
131	230	118
132	231	116
133	232	114
134	233	112
135	235	110
136	237	109
137	238	107
138	239	105
139	240	103
140	242	101
141	243	99
142	244	97
143	246	95
144	247	93
145	248	92
146	250	90
147	251	88
148	252	86
149	253	84
150	255	83
151	257	81
152	258	79
153	259	77
154	261	75
155	262	74
156	263	72
157	264	70
158	266	68
159	267	66
160	268	65
161	269	63
162	271	61
163	272	59
164	273	58
165	274	56
166	276	54
167	277	52
168	279	51
169	280	49
170	281	47
171	282	46
172	284	44
173	285	42
174	286	40
175	287	39
176	289	37
177	290	35
178	291	34
179	292	32
180	294	30
181	295	29
182	296	27
183	297	25
184	299	24
185	300	22
186	301	20
187	303	19
188	304	17
189	305	16
190	306	14
191	307	12
192	309	11
193	311	9
194	312	8
195	313	6
196	314	4
197	316	3
198	317	1
199	318	0
